num_cells,cell_type
1739,Astrocytes Bergmann glia
6771,Astrocytes cortex hippocampus
3350,Astrocytes thalamus hypothalamus
94,Cajal-Retzius cells
292,CCK interneurons
1348,Cholinergic neurons habenula
1116,Choroid plexus epithelial cells
2300,Committed oligodendrocytes
1030,D1 medium spiny neurons
947,D2 medium spiny neurons
415,Dopaminergic neurons
843,Ependymal cells
1404,Excitatory neurons amygdala
4342,Excitatory neurons di/mesencephalon
1209,Excitatory neurons hippocampal CA1
587,Excitatory neurons hippocampal CA2
1141,Excitatory neurons hippocampal CA3
1595,Excitatory neurons layer 1 piriform
3581,Excitatory neurons layer 2/3
3826,Excitatory neurons layer 4
2340,Excitatory neurons layer 5
2413,Excitatory neurons layer 5/6
4045,Excitatory neurons layer 6
3515,Excitatory neurons telencephalon
3093,Granule neurons
2968,Hindbrain excitatory neurons
5331,Hindbrain inhibitory neurons
1747,Hypendymal
1212,Inhibitory interneurons
2048,Inhibitory neurons amygdala
3116,Inhibitory neurons habenula hypothalamus
1939,Inhibitory neurons habenula thalamus
686,Inhibitory neurons reticular nucleus
637,Interneuron selective interneurons
2623,Interneurons
5255,Mature oligodendrocytes
1700,Microglia
5875,Myelin forming oligodendrocytes
607,Neuroblasts
567,Neurogliaform cells
322,Newly-formed oligodendrocytes
1514,Olfactory bulb inhibitory neurons
724,Olfactory ensheathing cells
1470,Oligodendrocyte precursor cells
25,Peptidergic neurons
2983,Pericytes
295,Perivascular macrophages
1422,Purkinje cells
2150,Radial glia
104,Serotonergic neurons
1157,T cell
165,Tanycytes
1236,Telencephalon inhibitory neurons
3276,Vascular endothelial cells
946,Vascular leptomeningeal cells
1364,Vascular smooth muscle cells
